# https://www.de-cix.net/en/resources/service-information/route-server-guides/informational-bgp-communities
#
# List of ASNs:
# https://www.de-cix.net/en/resources/service-information/route-server-guides/action-bgp-communities
# Note that as<ASN>.txt is symlinked to this src_decix.txt file
#
# That covers the following IX + ASN:
#
#-BEGIN_ASN
# ASEAN			38137
<ASN>:1911:178,Switch: edge01.phx4
<ASN>:1911:117,Switch: edge01.ric1
<ASN>:1911:118,Switch: edge01.ric2
<ASN>:1911:119,Switch: edge01.ric3
<ASN>:1911:160,Switch: edge01.sea1
<ASN>:1911:161,Switch: edge01.sea2
<ASN>:1911:50,Switch: sw001.dxb1
<ASN>:1911:79,Switch: edge01.dxb1
<ASN>:1911:80,Switch: edge01.dxb2
<ASN>:1911:81,Switch: edge02.dxb2
<ASN>:1911:133,Switch: edge02.ist1
<ASN>:1911:139,Switch: edge01.ist5
<ASN>:1911:158,Switch: edge02.ist2
<ASN>:1911:108,Switch: edge01.jhb1
<ASN>:1911:109,Switch: edge01.jhb2
<ASN>:1911:106,Switch: edge01.kul1
<ASN>:1911:107,Switch: edge01.kul2
<ASN>:1911:166,Switch: edge01.pen1
<ASN>:1911:113,Switch: edge01.sin1
<ASN>:1911:171,Switch: edge01.sin2
<ASN>:1911:162,Switch: edge01.aqj1
<ASN>:1911:164,Switch: edge01.bgw1
<ASN>:1911:175,Switch: edge01.khi1
<ASN>:1911:174,Switch: edge01.tyo1
<ASN>:1911:173,Switch: edge01.osa1
<ASN>:1911:185,Switch: edge01.jkt1
<ASN>:1911:186,Switch: edge01.jkt2
<ASN>:1911:112,Switch: edge01.bwn1
<ASN>:1911:65535,Switch: Unknown

