# AS641 communities taken from https://onestep.net/communities/as6461/
6461:2378,Customer in IAD48
6461:2379,Customer in IAH19
6461:2380,Customer in LHR28
6461:2381,Customer in DEN4
6461:2382,Customer in BOI2
6461:2383,Customer in PHX10
6461:2384,Customer in MAN1
6461:2385,Customer in CYS1
6461:2386,Customer in DFW79
6461:2387,Customer in IAD94
6461:2388,Customer in CHD1
6461:2389,Customer in AUS4
6461:2390,Customer in CVG3
6461:2391,Customer in TUS1
6461:2392,Customer in AMS18
6461:2393,Customer in SIN1
6461:2394,Customer in IND1
6461:2395,Customer in HKG1
6461:2396,Customer in ORD49
6461:2397,Customer in SYD1
6461:2398,Customer in AMA1
6461:2399,Customer in AMS19
6461:8000,Customer in YUL1
6461:8001,Customer in YUL2
6461:8002,Customer in DEN5
6461:8003,Customer in TOR3
6461:8004,Customer in SPK1
6461:8005,Customer in SLC2
6461:8006,Customer in ORD50
6461:8007,Customer in BWI19
6461:8008,Customer in SEA28
6461:8009,Customer in CLT4
6461:8010,Customer in YVR2
6461:8011,Customer in YVR3
6461:8012,Customer in LAS2
6461:8013,Customer in CLT2
6461:8014,Customer in EWR69
6461:8015,Customer in IAD9
6461:8016,Customer in YWG1
6461:8017,Customer in YWG2
6461:8018,Customer in KCY4
6461:8019,Customer in ORD53
6461:8020,Customer in DFW83
6461:8021,Customer in LAS4
6461:8022,Customer in PDX2
6461:8023,Customer in MCO1
6461:8024,Customer in COS19
6461:8025,Customer in DEN67
6461:8026,Customer in DUB3
6461:8027,Customer in FAB1
6461:8028,Customer in MRS1
6461:8029,Customer in YYC1
6461:8030,Customer in YYC2
6461:8031,Customer in LTN1
6461:8032,Customer in ATL10
6461:8033,Customer in LAX10
6461:8034,Customer in DUB2
6461:8035,Customer in SGU1
6461:8036,Customer in DEN66
6461:8037,Customer in BOD1
6461:8038,Customer in CDG16
6461:8039,Customer in CDG17
6461:8040,Customer in CDG18
6461:8041,Customer in CDG19
6461:8042,Customer in CDG20
6461:8043,Customer in TLS1
6461:8044,Customer in MAD1
6461:8045,Customer in BRU1
6461:8046,Customer in LYN1
6461:8047,Customer in ZRH1
6461:8048,Customer in LYN2
6461:8049,Customer in SXB1
6461:8050,Customer in NTE1
6461:8051,Customer in CDG21
6461:8052,Customer in CDG22
6461:8053,Customer in CDG23
6461:8054,Customer in CDG24
6461:8055,Customer in LUX1
6461:8056,Customer in MPL1
6461:8057,Customer in LIL1
6461:8058,Customer in MSP20
6461:8059,Customer in KCY2
