# https://www.de-cix.net/en/resources/service-information/route-server-guides/informational-bgp-communities

# Continents
<RS_ASN>:1911:119,Switch: edge01.ric3
<RS_ASN>:1911:160,Switch: edge01.sea1
<RS_ASN>:1911:161,Switch: edge01.sea2
<RS_ASN>:1911:50,Switch: sw001.dxb1
<RS_ASN>:1911:79,Switch: edge01.dxb1
<RS_ASN>:1911:80,Switch: edge01.dxb2
<RS_ASN>:1911:81,Switch: edge02.dxb2
<RS_ASN>:1911:133,Switch: edge02.ist1
<RS_ASN>:1911:139,Switch: edge01.ist5
<RS_ASN>:1911:158,Switch: edge02.ist2
<RS_ASN>:1911:108,Switch: edge01.jhb1
<RS_ASN>:1911:109,Switch: edge01.jhb2
<RS_ASN>:1911:106,Switch: edge01.kul1
<RS_ASN>:1911:107,Switch: edge01.kul2
<RS_ASN>:1911:166,Switch: edge01.pen1
<RS_ASN>:1911:113,Switch: edge01.sin1
<RS_ASN>:1911:171,Switch: edge01.sin2
<RS_ASN>:1911:162,Switch: edge01.aqj1
<RS_ASN>:1911:164,Switch: edge01.bgw1
<RS_ASN>:1911:175,Switch: edge01.khi1
<RS_ASN>:1911:174,Switch: edge01.tyo1
<RS_ASN>:1911:173,Switch: edge01.osa1
<RS_ASN>:1911:185,Switch: edge01.jkt1
<RS_ASN>:1911:186,Switch: edge01.jkt2
<RS_ASN>:1911:112,Switch: edge01.bwn1
<RS_ASN>:1911:65535,Switch: Unknown
