# https://bgp.tools/communities/13335
13335:10226,PoP: tnr01
13335:10227,PoP: pbh01
13335:10228,PoP: kul02
13335:10229,PoP: bwn01
13335:10230,PoP: dac01
13335:10231,PoP: gnd01
13335:10232,PoP: hnl01
13335:10233,PoP: han02
13335:10234,PoP: cgp01
13335:10235,PoP: lca02
13335:10236,PoP: pbm01
13335:10237,PoP: cmb03
13335:10238,PoP: vte01
13335:10239,PoP: tgu01
13335:10240,PoP: rob01
13335:10241,PoP: asu02
13335:10242,PoP: jhb01
13335:10243,PoP: dxb02
13335:10245,PoP: kwi02
13335:10246,PoP: eze02
13335:10247,PoP: tun01
13335:10248,PoP: jsr01
13335:10249,PoP: kwi03
13335:10250,PoP: ssa01
13335:10251,PoP: aus02
13335:10254,PoP: ruh04
13335:10255,PoP: tbs01
13335:10256,PoP: tun02
13335:10257,PoP: dac03
13335:10258,PoP: sjo01
13335:10259,PoP: rgn02
13335:10260,PoP: cmb02
13335:10261,PoP: nbo01
13335:10266,PoP: hre01
13335:10267,PoP: rgn01
13335:10268,PoP: del03
13335:10269,PoP: hyd03
13335:10270,PoP: mxp02
13335:10272,PoP: lhw01
13335:10273,PoP: cgo03
13335:10274,PoP: pnh03
13335:10275,PoP: lim02
13335:10277,PoP: tna02
13335:10279,PoP: gum01
13335:10280,PoP: ord04
13335:10281,PoP: ala01
13335:10282,PoP: blr03
13335:10283,PoP: ccu02
13335:10284,PoP: kja01
13335:10285,PoP: cbr01
13335:10286,PoP: wux02
13335:10291,PoP: vcp01
13335:10292,PoP: ktm02
13335:10293,PoP: hgh04
13335:10294,PoP: fuo03
13335:10295,PoP: xiy03
13335:10298,PoP: bsb01
13335:10299,PoP: poa02
13335:10300,PoP: ala02
13335:10301,PoP: pnh02
13335:10302,PoP: sfo10
13335:10303,PoP: dac05
13335:10304,PoP: dmm01
13335:10305,PoP: bgw04
13335:10306,PoP: gyd02
13335:10308,PoP: svx01
13335:10310,PoP: tao04
13335:10315,PoP: pkx01
13335:10316,PoP: lhw02
13335:10321,PoP: foc02
13335:10322,PoP: tao03
13335:10326,PoP: mdl01
13335:10327,PoP: xnn01
13335:10329,PoP: cgd01
13335:10331,PoP: gru05
13335:10333,PoP: sha04
13335:10336,PoP: ist03
13335:10337,PoP: pmo01
13335:10338,PoP: jed01
13335:10339,PoP: ruh03
13335:10340,PoP: rao01
13335:10341,PoP: man02
13335:10342,PoP: ist04
13335:10343,PoP: alg01
13335:10344,PoP: urt01
13335:10345,PoP: khn03
13335:10346,PoP: ruh02
13335:10347,PoP: ktm03
13335:10348,PoP: pdx05
13335:10349,PoP: pdx06
13335:10350,PoP: iad03
13335:10351,PoP: iad04
13335:10352,PoP: iad05
13335:10354,PoP: iad07
13335:10355,PoP: cgd02
13335:10356,PoP: del02
13335:10357,PoP: for02
13335:10358,PoP: cwb03
13335:10359,PoP: bgw02
13335:10360,PoP: gye01
13335:10361,PoP: can04
13335:10362,PoP: dac02
13335:10363,PoP: mia02
13335:10365,PoP: mad02
13335:10366,PoP: mad03
13335:10367,PoP: mad04
13335:10368,PoP: mia04
13335:10369,PoP: mia05
13335:10370,PoP: kix02
13335:10373,PoP: lhr08
13335:10374,PoP: blr02
13335:10375,PoP: pkx02
