# From AS3216 whois

# External
# Location / Peer
3216:3104,Equinix Ashburn
3216:3105,Netnod (Stockholm)
3216:3114,DATAIX (EU) peering
3216:3117,JPNAP Tokyo
3216:3118,Equinix Hong Kong
3216:3119,HKIX (Hong Kong)
3216:3120,NL-ix (Frankfurt)
3216:3121,BBIX (Tokyo)
3216:3122,BBIX (Hong Kong)

# Private Peering
3216:3202,Google (Frankfurt)
3216:3203,FACEBOOK (Stockholm)
3216:3204,Twitch AS46489
3216:3205,Apple (Frankfurt)
3216:3206,Telegram AS62041
3216:3207,FACEBOOK (Frankfurt)
3216:3208,Core-Backbone (Frankfurt)
3216:3209,VALVE (Stockholm)
3216:3210,Amazon AS16509
3216:3211,Hetzner AS24940
3216:3212,VALVE (Frankfurt)
3216:3213,FACEBOOK (Helsingfors)
3216:3214,ONLINE SAS (Amsterdam)
3216:3215,CLOUDFLARE AS13335
3216:3217,OVHcloud (Frankfurt)
3216:3218,CDN77 (Frankfurt)
3216:3219,Blizzard (Amsterdam)
3216:3220,Blizzard (Frankfurt)
3216:3221,China Unicom
3216:3222,ROBLOX (Frankfurt)
3216:3223,Verizon Digital Media Services (EdgeCast)
3216:3224,Melbikomas UAB
3216:3225,Akamai (Stockholm)
3216:3226,Fastly (Stockholm)
3216:3227,LeaseWeb
3216:3228,G-Core Labs
3216:3229,ReTN
3216:3230,ByteDance(Frankfurt)
3216:3231,FDC Servers
3216:3232,DigitalOcean

# Community of our networks
3216:4000,Originated in any region
3216:4001,Originated in SPB
3216:4002,Originated in Novosibirsk
3216:4003,Originated in Vladivostok
3216:4004,Originated in Samara
3216:4005,Originated in NNovgorod
3216:4006,Originated in Arkhangelsk
3216:4007,Originated in Tyumen
3216:4008,Originated in Ekaterinburg
3216:4009,Originated in Almaty
3216:4010,Originated in NW Region (Spb Arkh Kaliningrad)
3216:4011,Originated in Komi Republic
3216:4023,Originated in Krasnodar
3216:4024,Originated in Krasnoyarsk
3216:4034,Originated in Volgograd
3216:4040,Originated in Kaluga
3216:4061,Originated in Rostov-na-Donu
3216:4072,Originated in Tyumen
3216:4074,Originated in Chelyabinsk
3216:4100,Originated in Moscow
3216:4200,Internal prefixes originated in Moscow
3216:4250,Internal prefixes originated in Moscow region cities
3216:4201,Internal prefixes originated in SPB
3216:4202,Internal prefixes originated in Ufa
3216:4203,Internal prefixes originated in Samara
3216:4204,Internal prefixes originated in Khabarovsk
3216:4205,Internal prefixes originated in NNovgorod
3216:4206,Internal prefixes originated in Novosibirsk
3216:4207,Internal prefixes originated in Krasnoyarsk
3216:4208,Internal prefixes originated in Kazan
3216:4209,Internal prefixes originated in Irkutsk
3216:4210,Internal prefixes originated in Ekaterinburg
3216:4211,Internal prefixes originated in Chelyabinsk
3216:4212,Internal prefixes originated in Rostov-na-Donu
3216:4213,Internal prefixes originated in Krasnodar
3216:4272,Internal prefixes originated in Krasnodar
3216:4301,Internal prefixes originated in Republic of Adygea
3216:4302,Internal prefixes originated in Republic of Bashkortostan
3216:4303,Internal prefixes originated in Buryat Republic
3216:4304,Internal prefixes originated in Altai Republic
3216:4305,Internal prefixes originated in Republic of Dagestan
3216:4306,Internal prefixes originated in Republic of Ingushetia
3216:4307,Internal prefixes originated in Kabardino-Balkar Republic
3216:4308,Internal prefixes originated in Republic of Kalmykia
3216:4309,Internal prefixes originated in Karachay-Cherkess Republic
3216:4310,Internal prefixes originated in Republic of Karelia
3216:4311,Internal prefixes originated in Komi Republic
3216:4312,Internal prefixes originated in Mari El Republic
3216:4313,Internal prefixes originated in Republic of Mordovia
3216:4314,Internal prefixes originated in Sakha Republic
3216:4315,Internal prefixes originated in Republic of North Osetia-Alania
3216:4316,Internal prefixes originated in Republic of Tatarstan
3216:4317,Internal prefixes originated in Tuva Republic
3216:4318,Internal prefixes originated in Udmurt Republic
3216:4319,Internal prefixes originated in Republic of Khakassia
3216:4321,Internal prefixes originated in Chuvash Republic
3216:4322,Internal prefixes originated in Altai Krai
3216:4323,Internal prefixes originated in Krasnodar Krai
3216:4324,Internal prefixes originated in Krasnoyarsk Krai
3216:4325,Internal prefixes originated in Primorsky Krai
3216:4326,Internal prefixes originated in Stavropol Krai
3216:4327,Internal prefixes originated in Khabarovsk Krai
3216:4328,Internal prefixes originated in Amur Region
3216:4329,Internal prefixes originated in Arkhangelsk Region
3216:4330,Internal prefixes originated in Astrakhan Region
3216:4331,Internal prefixes originated in Belgorod Region
3216:4332,Internal prefixes originated in Bryansk Region
3216:4333,Internal prefixes originated in Vladimir Region
3216:4334,Internal prefixes originated in Volgograd Region
3216:4335,Internal prefixes originated in Vologda Region
3216:4336,Internal prefixes originated in Voronezh Region
3216:4337,Internal prefixes originated in Ivanovo Region
